,placements,joueurs ,score ,,Mois concerné (Ne pas bouger de la premiere case),SQL insert (DONT TOUCH ANYTHING !!! PAS TOUCHE !!!)
The Princess Bride Pinball,1,richc111,510 728 869,,2024-12,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),1,(SELECT Id FROM Player WHERE Pseudo ='richc111'),510728869,'2024-12');"
The Princess Bride Pinball,2,TuttiDeLeon,492 127 251,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),2,(SELECT Id FROM Player WHERE Pseudo ='TuttiDeLeon'),492127251,'2024-12');"
The Princess Bride Pinball,3,WimS [LUPsClub],474 710 821,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),3,(SELECT Id FROM Player WHERE Pseudo ='WimS [LUPsClub]'),474710821,'2024-12');"
The Princess Bride Pinball,4,OttOBuS,384 447 591,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),4,(SELECT Id FROM Player WHERE Pseudo ='OttOBuS'),384447591,'2024-12');"
The Princess Bride Pinball,5,Jammin Jace,354 192 610,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),5,(SELECT Id FROM Player WHERE Pseudo ='Jammin Jace'),354192610,'2024-12');"
The Princess Bride Pinball,6,Cave Canem @ Zerberus,332 681 615,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),6,(SELECT Id FROM Player WHERE Pseudo ='Cave Canem @ Zerberus'),332681615,'2024-12');"
The Princess Bride Pinball,7,Malarkeyness,265 095 757,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),7,(SELECT Id FROM Player WHERE Pseudo ='Malarkeyness'),265095757,'2024-12');"
The Princess Bride Pinball,8,p-menke,238 777 494,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),8,(SELECT Id FROM Player WHERE Pseudo ='p-menke'),238777494,'2024-12');"
The Princess Bride Pinball,9,Fluffy_McDuffee,223 977 156,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),9,(SELECT Id FROM Player WHERE Pseudo ='Fluffy_McDuffee'),223977156,'2024-12');"
The Princess Bride Pinball,10,kuplungos,204 904 400,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),10,(SELECT Id FROM Player WHERE Pseudo ='kuplungos'),204904400,'2024-12');"
The Princess Bride Pinball,11,Adlegeek59 [Team Enhancer],201 297 302,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),11,(SELECT Id FROM Player WHERE Pseudo ='Adlegeek59 [Team Enhancer]'),201297302,'2024-12');"
The Princess Bride Pinball,12,Yesai [Team Enhancer],197 600 188,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),12,(SELECT Id FROM Player WHERE Pseudo ='Yesai [Team Enhancer]'),197600188,'2024-12');"
The Princess Bride Pinball,13,Jmak909,187 606 452,,,"INSERT INTO Has_Scored_On(Pinball_Id, Position, Player_Id, Score, Month_and_year) VALUES (( SELECT Id FROM Pinball WHERE Name ='The Princess Bride Pinball'),13,(SELECT Id FROM Player WHERE Pseudo ='Jmak909'),187606452,'2024-12');"
